Home,Away,Home_Score,Away_Score,Tournament
South Dakota State,Boise State,68,66,
Cal State Maritime,UC-Davis,67,90,
San Diego Christian,Grand Canyon,50,101,
Bellarmine,Louisville,67,66,
Florida A&M,Portland,54,91,
Florida Gulf Coast,San Diego,73,79,
Puget Sound,Seattle,55,106,
North Dakota State,Kansas,59,82,
North Dakota,Creighton,61,96,
Houston Christian,Texas,31,82,
Bethune-Cookman,Indiana,49,101,
Texas Southern,Texas Tech,54,78,
North Alabama,Alabama A&M,84,76,
Kansas Christian,Tarleton State,49,95,
Clinton College,Queens (NC),65,99,
Ouachita Baptist,Northwestern State,68,79,
Baldwin-Wallace,Kent State,55,76,
North Carolina Central,Appalachian State,74,79,
Campbellsville,Morehead State,58,99,
Charleston Southern,Ohio State,56,82,
St. Thomas (TX),Rice,48,85,
Lehigh,Virginia Tech,52,78,
Colgate,Brown,77,68,
Oakland City,Chattanooga,49,93,
Presbyterian,The Citadel,58,70,
UMass-Lowell,Columbia,89,62,
SUNY Delhi,Cornell,57,114,
Immaculata,Delaware State,67,104,
Western Kentucky,Eastern Kentucky,66,60,
Florida National University,Florida International,74,95,
Lyndon State,Hartford,43,85,
Dean,Holy Cross,71,85,
Dallas Christian,Louisiana-Monroe,59,111,
Western Carolina,Maryland,51,71,
Penn St. - York,UMBC,65,92,
Towson,UMass,67,55,
Clark (MA),Merrimack,48,64,
Penn State-Allegheny,Morgan State,49,130,
Loyola (MD),Penn State,65,90,
Sacred Heart,Rutgers,50,88,
Southwestern Adventist,Sam Houston,33,120,
Spring Hill,Samford,61,80,
Gardner-Webb,Stephen F. Austin,71,86,
Quinnipiac,Stonehill,102,95,
Tennessee Wesleyan,Tennessee Tech,48,82,
Mid-America Christian,Texas State,53,71,
Mississippi University for Women,Troy,42,96,
Penn State New Kensington,VMI,58,100,
Goshen,Western Michigan,62,99,
Mid-Atlantic Christian,William & Mary,40,116,
Arkansas Baptist,Little Rock,60,71,
Cleveland State,Cincinnati,58,69,
Illinois State,Eastern Illinois,54,49,
Hannibal-LaGrange,Lindenwood,58,85,
Central Michigan,Marquette,73,97,
Omaha,Nebraska,61,75,
Radford,Notre Dame,76,79,
Southern Illinois,Oklahoma State,61,60,
Northern Arizona,Arizona State,68,84,
Colorado College,Denver,68,90,
Walla Walla,Idaho,48,122,
Westcliff,Idaho State,56,97,
La Verne,Southern Utah,55,117,
Western Colorado,Weber State,67,83,
UC-Riverside,Loyola Marymount,81,79,
Vermont,Saint Mary's,53,79,
Cal Poly,San Francisco,48,60,
Georgia Southern,Santa Clara,62,78,
Nicholls State,Wyoming,68,79,
Alabama State,USC,58,96,
College of Charleston,UNC,86,102,
Michigan State,Gonzaga,63,64,
Houston,St. Joseph's,81,55,
Duquesne,Kentucky,52,77,
Norfolk State,Baylor,70,87,
USC Upstate,Duke,38,84,
Long Beach State,UCLA,69,93,
Fordham,Arkansas,48,74,
Lamar,TCU,66,77,
South Florida,Auburn,59,67,
Villanova,Temple,64,68,
Southern,Arizona,78,95,
Monmouth,Virginia,42,89,
BYU,San Diego State,75,82,
Liberty,Alabama,59,95,
UC-Irvine,Oregon,69,56,
Eastern Michigan,Michigan,83,88,
Kansas City,Illinois,48,86,
SMU,Dayton,62,74,
Milligan,Mercer,64,118,
St. Francis (NY),Minnesota,54,72,
Penn,Missouri,85,92,
Abilene Christian,Texas A&M,58,77,
Bradley,Utah State,62,84,
Yale,Eastern Washington,74,60,
Florida A&M,Oregon State,43,60,
Stanford,Wisconsin,50,60,
Detroit Mercy,Boston College,66,70,
Fairfield,New Hampshire,71,83,
Johnson (FL),Jacksonville,34,85,
Delaware,Air Force,71,75,
Hendrix,Central Arkansas,56,107,
Fresno State,UCSB,54,61,
UAB,Toledo,85,93,
Boston University,UConn,57,86,
Howard,George Washington,75,85,
Louisiana,Harvard,75,61,
Miami-Hamilton,Stony Brook,65,86,
Mississippi State,Akron,73,54,
Kansas State,California,63,54,
Florida State,UCF,54,68,
Methodist,Coastal Carolina,47,110,
Mount St. Mary's,Coppin State,78,83,
Bryant,Dartmouth,89,70,
Old Dominion,Drexel,59,71,
Kennesaw State,Florida,78,88,
Belmont,Furman,74,89,
Longwood,George Mason,69,83,
Iona,Hofstra,78,83,
Maine-Fort Kent,Maine,45,90,
UNC Greensboro,Miami (FL),65,79,
Florida Atlantic,Ole Miss,67,80,
Campbell,NC State,67,73,
Allen,UNC Wilmington,55,104,
Bowling Green State,Oakland,87,82,
West Virginia,Pitt,81,56,
Northern Iowa,Richmond,55,68,
Clemson,South Carolina,58,60,
McNeese State,Tulane,58,75,
Southern Miss,Vanderbilt,60,48,
Elon,ETSU,64,77,
Colorado,Grambling,74,83,
Loyola (IL),UIC,70,63,
North Carolina A&T,Iowa,71,112,
Princeton,Navy,73,74,
Texas A&M-Commerce,Northern Colorado,77,80,
Northern Illinois,Northwestern,46,63,
Arkansas-Pine Bluff,Oklahoma,58,66,
John Brown,Oral Roberts,62,95,
Chicago State,St. Thomas,61,83,
UTSA,Texas A&M-Corpus Christi,55,75,
Cal State Bakersfield,Utah,44,72,
Georgia,Wake Forest,71,81,
Montana,Xavier,64,86,
Southeastern Louisiana,Colorado State,69,80,
South Alabama,New Mexico,74,80,
Pepperdine,Cal State Fullerton,71,74,
NJIT,California Baptist,43,59,
Western Illinois,DePaul,74,86,
Portland State,Portland,91,98,
North Florida,Washington,67,75,
Austin Peay,Purdue,44,63,
Regent,Hampton,60,89,
Mississippi Valley State,Hawaii,54,72,
Goshen,Miami (OH),44,87,
Cincinnati-Clermont,Northern Kentucky,49,89,
Cleveland State,Ohio,70,81,
Morgan State,VCU,54,69,
Middle Tennessee,Winthrop,68,76,
Kentucky State,Western Kentucky,61,127,
St. Katherine,Southern Utah,48,91,
Green Bay,Georgetown,58,92,
St. Peter's,Seton Hall,44,80,
South Carolina State,Tennessee State,61,80,
Stonehill,Army,82,77,
James Madison,Buffalo,97,62,
Ball State,Indiana State,71,83,
SIU-Edwardsville,Purdue Fort Wayne,76,81,
Wright State,Louisville,73,72,
UMass-Lowell,Rutgers,65,73,
Wagner,La Salle,69,77,
Brevard,UNC Asheville,46,94,
Belhaven (MS),Samford,38,90,
Champion Christian,UT-Martin,65,124,
Jackson State,Tulsa,79,85,
Niagara,Bucknell,50,68,
Presbyterian,East Carolina,57,77,
Wofford,High Point,80,91,
Bryn Athyn,Maryland-Eastern Shore,43,90,
Texas State,Rhode Island,70,66,
TCNJ,Rider,50,87,
Bethesda University (CA),San Jose State,68,90,
Northern Arizona,Utah Valley,69,73,
Alcorn State,Wichita State,66,57,
Campbellsville,Lipscomb,54,107,
Grand Canyon,Nevada,46,59,
St. Francis (IL),New Orleans,63,65,
Lyon,Southeast Missouri State,46,83,
Arkansas State,LSU,52,61,
Incarnate Word,UNLV,63,88,
Dakota State,South Dakota,64,82,
Lafayette,St. John's (NY),68,83,
Washington State,Boise State,61,71,
St. Bonaventure,Canisius,80,84,
Massachusetts Liberal Arts,Dartmouth,52,107,
Trinity Baptist,Georgia Southern,32,53,
Georgia Tech,Georgia State,59,57,
Binghamton,Marist,78,75,
Cardinal Stritch,Milwaukee,38,112,
Hartford,Saint Francis (PA),53,77,
Evansville,Saint Louis,65,83,
Albany (NY),Siena,62,75,
Bellarmine,Morehead State,55,62,
Lindsey Wilson,Murray State,53,90,
Illinois State,Northwestern State,69,67,
Northeastern,Providence,65,89,
Southwestern (TX),UT Arlington,61,103,
Southwestern Adventist,Texas-Rio Grande Valley,33,115,
Cal State Northridge,Utah Tech,63,69,
New Mexico State,UTEP,64,67,
Sacramento State,UC-San Diego,65,55,
UC-Davis,Loyola Marymount,75,85,
Colorado,Tennessee,78,66,
Manhattan,FDU,74,77,
Mississippi Valley State,Yale,51,80,
Lindenwood,Missouri,53,82,
Arizona State,Texas Southern,66,67,
Southeastern Louisiana,Wyoming,76,72,
Eastern Kentucky,Cincinnati,69,87,
Quinnipiac,Central Connecticut,72,70,
North Carolina A&T,Iowa State,43,80,
Columbia,Sacred Heart,85,88,
Eastern Illinois,Central Michigan,60,76,
Wells,Colgate,60,93,
VMI,Davidson,71,75,
Harvard,Elon,92,77,
Pacific,North Dakota State,91,86,
Pfeiffer,Longwood,68,100,
Arkansas-Pine Bluff,Mississippi State,47,80,
Idaho,Omaha,72,79,
Oklahoma State,Oakland,91,62,
St. Francis (NY),St. Thomas,48,84,
Louisiana,ETSU,81,77,
American,George Mason,56,73,
Misericordia,Lehigh,58,97,
Youngstown State,Notre Dame,81,88,
Towson,Penn,80,74,
Southern Illinois,Southern Indiana,53,71,
Brescia,Western Carolina,45,112,
Brown,Loyola (MD),70,75,
Alabama State,Pepperdine,62,91,
NJIT,San Diego,64,74,
UC-Merced,San Francisco,71,88,
Western Michigan,Valparaiso,65,81,
Ave Maria,Florida Gulf Coast,61,105,
Portland State,Seattle,71,83,
William & Mary,Virginia Tech,77,94,
Gallaudet,Howard,56,108,
Montana State,Long Beach State,70,57,
Vermont,Cal State Fullerton,85,94,
North Texas,Saint Mary's,33,63,
Eastern Washington,Hawaii,51,71,
Oral Roberts,Houston,45,83,
Northern Colorado,Baylor,62,95,
Norfolk State,UCLA,56,86,
Holy Cross,Creighton,65,94,
Northwestern State,TCU,64,63,
Northern Iowa,Virginia,,,
Monmouth,Illinois,65,103,
Louisiana Tech,Texas Tech,55,64,
Florida National University,Bethune-Cookman,57,71,
Maryland-Eastern Shore,Charlotte,47,80,
Troy,Florida State,79,72,
Miami (OH),Georgia,70,77,
Tennessee Tech,Marshall,65,91,
IUPUI,Chicago State,58,68,
Wofford,Drake,72,80,
Belmont,Lipscomb,75,77,
Purdue Northwest,Northern Illinois,73,99,
Alabama A&M,Tennessee State,76,87,
Bethesda University (CA),Southern Utah,67,126,
Idaho State,Utah,58,70,
Santa Clara,Utah State,74,96,
Eastern Washington,Mississippi Valley State,60,52,
Florida Atlantic,Florida,76,74,
Campbellsville,Bellarmine,46,86,
Maine,Boston College,69,64,
Mount Saint Vincent,LIU,50,111,
Princeton,UMBC,94,64,
Delaware State,Villanova,50,60,
Union (NY),Albany (NY),75,87,
Johnson & Wales (RI),Boston University,51,96,
Maine-Fort Kent,Bryant,,,
Western Illinois,UCF,37,70,
Richmond,College of Charleston,90,92,
Navy,Coppin State,68,75,
South Carolina State,Duquesne,71,96,
George Washington,Hofstra,80,85,
Manchester,Purdue Fort Wayne,31,111,
Brewton-Parker,Kennesaw State,36,95,
Portland,Kent State,65,77,
North Carolina Central,Liberty,63,79,
Central Baptist,Louisiana-Monroe,56,105,
DePaul,Minnesota,69,53,
Blue Mountain College,North Alabama,60,100,
Virginia Wesleyan,Old Dominion,58,72,
Bridgewater (VA),Radford,46,97,
Cornell,Saint Francis (PA),80,77,
Lafayette,St. Joseph's,59,63,
LeTourneau,Sam Houston,48,84,
Stetson,South Florida,68,67,
St. Francis (IL),Texas-Rio Grande Valley,51,77,
Neumann,Wagner,52,82,
Lyon,Arkansas State,58,82,
Milligan,Austin Peay,74,98,
Little Rock,Central Arkansas,71,82,
Champion Christian,Houston Christian,97,119,
Jacksonville State,UIC,60,67,
Huston-Tillotson,Lamar,69,98,
Calvary,Kansas City,54,113,
Butler,Penn State,62,68,
Loyola (LA),Southern Miss,62,86,
Trinity (TX),Texas A&M-Corpus Christi,73,91,
St. Mary's (TX),UTSA,59,66,
Texas A&M-Commerce,Air Force,73,69,
Weber State,Colorado State,52,77,
Sacramento State,Denver,73,69,
Utah Tech,Washington,67,78,
Gardner-Webb,UNC,66,72,
Kentucky,Michigan State,77,86,
Duke,Kansas,64,69,
Winthrop,Auburn,65,89,
San Diego State,Stanford,74,62,
Alabama,South Alabama,65,55,
Dayton,UNLV,52,60,
Buffalo,UConn,64,84,
Morgan State,Akron,59,65,
New Hampshire,Fordham,61,79,
Yale,Hawaii,62,59,
Central Connecticut,St. John's (NY),74,91,
Vanderbilt,Temple,89,87,
Rice,Middle Tennessee,46,81,
SIU-Edwardsville,Missouri,80,105,
Memphis,Saint Louis,84,90,
Oral Roberts,Texas Southern,82,64,
Indianapolis,Western Kentucky,50,68,
William Jessup,Nevada,54,98,
Bushnell,Oregon State,66,83,
Grace Christian University,Youngstown State,68,96,
Stonehill,Providence,76,100,
Northwestern,Georgetown,75,63,
Appalachian State,Louisville,61,60,
Montana State,Oregon,51,81,
Morris College,The Citadel,66,109,
USC Upstate,Clemson,70,81,
Penn,Drexel,64,59,
Mercer,Georgia State,83,85,
Lees-McRae,High Point,83,100,
James Madison,Howard,95,69,
Texas Lutheran,Incarnate Word,47,84,
Queens (NC),La Salle,60,72,
Binghamton,Maryland,52,76,
Florida A&M,Miami (FL),61,87,
Chattanooga,Ole Miss,58,70,
McDaniel,Mount St. Mary's,38,60,
Washington State,Prairie View,59,70,
Dartmouth,Quinnipiac,72,81,
Stony Brook,Rhode Island,64,74,
Bucknell,St. Peter's,71,82,
Alcorn State,Stephen F. Austin,69,60,
Colgate,Syracuse,80,68,
Harris-Stowe,UT-Martin,53,96,
Utah Valley,Wake Forest,65,68,
Morehead State,West Virginia,57,75,
Bowling Green State,Wright State,71,80,
McMurry,Abilene Christian,46,104,
Eastern Michigan,Bradley,61,89,
Pacific,North Dakota,93,63,
Benedictine,Northern Arizona,49,105,
UNC Wilmington,Oklahoma,53,74,
St. Bonaventure,South Dakota State,62,66,
New Mexico,SMU,84,63,
Hardin-Simmons,UT Arlington,59,100,
Florida International,NC State,74,107,
Sul Ross State,UTEP,59,99,
Green Bay,Wisconsin,45,56,
Fairfield,Xavier,65,78,
Cal State Northridge,California Baptist,55,62,
Loyola Marymount,UC-Irvine,64,79,
California,UC-San Diego,62,64,
Vanguard,Pepperdine,80,94,
Alabama State,San Jose State,57,70,
Vermont,USC,57,59,
Marquette,Purdue,70,75,
Gonzaga,Texas,74,93,
Texas Southern,Houston,48,83,
South Dakota State,Arkansas,56,71,
Michigan,Pitt,91,60,
Florida Gulf Coast,Tennessee,50,81,
Trinity Baptist,Bethune-Cookman,46,83,
Sacred Heart,UMass-Lowell,81,90,
Cincinnati,Northern Kentucky,51,64,
West Virginia Wesleyan,Robert Morris,56,111,
Presbyterian,UAB,61,92,
Valparaiso,Chicago State,74,87,
Arkansas-Pine Bluff,Kent State,68,94,
William & Mary,American,64,71,
Cleveland State,Canisius,58,57,
Delaware State,Columbia,65,70,
Ohio,Detroit Mercy,74,88,
Hampton,East Carolina,73,82,
Southeast Missouri State,Evansville,67,61,
Marist,Lehigh,54,64,
Ball State,Omaha,71,61,
Mid-Atlantic Christian,North Carolina Central,50,109,
Harvard,Northeastern,70,69,
Eastern Illinois,Ohio State,43,65,
Averett,Radford,34,79,
Army,Siena,96,94,
Oakland,Toledo,90,112,
Charleston Southern,Tulane,79,99,
VCU,Arizona State,59,63,
Southern Indiana,Notre Dame,70,82,
Southern,Saint Mary's,54,72,
Iowa,Seton Hall,83,67,
Missouri State,BYU,64,66,
Cal State Bakersfield,Idaho,52,43,
San Francisco,Fresno State,67,60,
Evergreen State,Portland State,40,113,
South Carolina State,Kentucky,63,106,
UC-Riverside,Creighton,51,80,
Utah Tech,Arizona,77,104,
Louisiana-Monroe,TCU,60,95,
Michigan,Arizona State,62,87,
Murray State,Texas A&M,88,79,
Marshall,Miami (OH),95,69,
Samford,Alabama A&M,84,64,
Northwestern State,Illinois State,70,67,
Tennessee State,Southern Illinois,44,57,
Sam Houston,Utah,65,55,
Furman,Penn State,68,73,
Colorado,UMass,63,66,
Old Dominion,Virginia Tech,71,75,
Merrimack,Troy,54,73,
Colorado State,South Carolina,85,53,
Saint Francis (PA),Butler,67,95,
Kansas City,Kansas State,53,69,
Nebraska,St. John's (NY),50,70,
Hartford,Boston University,66,102,
Stony Brook,Brown,53,64,
Boise State,Charlotte,42,54,
Davidson,College of Charleston,66,89,
Little Rock,ETSU,76,84,
North Dakota,Elon,77,73,
Bryant,Florida Atlantic,74,85,
North Dakota State,Indiana State,75,101,
Washington College,Loyola (MD),53,81,
Norfolk State,Monmouth,64,59,
Towson,UNC Greensboro,56,53,
Pitt,VCU,67,71,
Wichita State,Richmond,56,53,
Albany (NY),St. Joseph's,79,99,
Austin Peay,South Florida,62,60,
Defiance,Wright State,56,99,
Northern Illinois,Georgia Tech,50,68,
Louisiana Tech,Louisiana,88,94,
New Orleans,LSU,62,91,
LIU,Marquette,58,95,
Coppin State,Tennessee Tech,90,85,
Texas-Rio Grande Valley,Texas A&M-Corpus Christi,75,97,
Texas State,UTSA,56,61,
Portland,Air Force,64,51,
Central Michigan,Minnesota,60,68,
South Dakota,Mississippi State,42,79,
St. Thomas,Montana,59,78,
Utah State,San Diego,91,89,
Hofstra,San Jose State,85,76,
Loyola (IL),Tulsa,66,85,
California Baptist,Washington,73,64,
Virginia,Baylor,86,79,
Southern Utah,Kansas,76,82,
Delaware,Duke,58,92,
Illinois,UCLA,79,70,
Indiana,Xavier,81,79,
Texas Southern,Auburn,56,72,
Jacksonville State,Alabama,62,104,
Colorado,Texas A&M,103,75,
UNC Wilmington,UConn,50,86,
FDU,SIU-Edwardsville,78,79,
Florida,Florida State,76,67,
Bucknell,Georgia,61,65,
Western Carolina,McNeese State,88,69,
North Alabama,Mississippi Valley State,68,76,
Georgia Southern,Rice,71,88,
Warner Pacific,Montana State,64,106,
Cal State Fullerton,Pacific,94,91,
Rider,Stetson,68,78,
Central Arkansas,Niagara,64,73,
Queens (NC),Green Bay,81,65,
Penn State,Virginia Tech,59,61,
Buffalo,Drake,72,80,
La Salle,Wake Forest,63,75,
Lafayette,UMBC,63,71,
UMass,Murray State,71,69,
Furman,Old Dominion,77,82,
UC-Merced,Sacramento State,43,58,
Howard,Wyoming,71,78,
Loyola Marymount,Georgetown,84,66,
Southeastern Louisiana,Kennesaw State,68,72,
Lamar,Lindenwood,73,71,
Albertus Magnus,Quinnipiac,68,86,
Tarleton State,Belmont,89,81,
Colorado State,College of Charleston,64,74,
VMI,Longwood,58,90,
Temple,Rutgers,72,66,
Colgate,Duquesne,80,85,
Arcadia,Drexel,45,85,
Eastern Kentucky,Georgia State,62,61,
Campbell,Appalachian State,63,58,
Bellarmine,Clemson,66,76,
Arkansas-Pine Bluff,Cleveland State,58,67,
Ithaca,Cornell,61,83,
South Carolina,Davidson,60,69,
Maryland-Eastern Shore,George Washington,64,69,
Vermont,Iona,50,71,
Southern Miss,Liberty,76,72,
Columbia,Maine,70,93,
Mount Saint Vincent,Manhattan,39,86,
UT-Martin,Ole Miss,68,72,
Utah Valley,Morgan State,72,73,
UC-San Diego,Navy,69,78,
Lipscomb,Notre Dame,65,66,
UCF,Oklahoma State,60,56,
Coastal Carolina,USC Upstate,78,79,
Troy,St. Thomas,76,78,
Charlotte,Tulsa,68,65,
Morehead State,Vanderbilt,43,76,
Fairfield,Wagner,52,68,
Penn,West Virginia,58,92,
Gardner-Webb,Wofford,58,60,
Boston College,George Mason,71,56,
Western Michigan,Houston Christian,90,84,
Villanova,Michigan State,71,73,
UCSB,Northern Arizona,54,63,
Purdue Fort Wayne,Northwestern,52,60,
South Alabama,Oklahoma,60,64,
Loras,Southern Indiana,55,87,
UNC Asheville,Texas A&M-Commerce,72,64,
Nevada,UT Arlington,62,43,
Southern,California,74,66,
Arkansas State,UC-Davis,60,75,
Santa Clara,DePaul,69,61,
Grambling,Grand Canyon,48,81,
Denver,Idaho State,70,69,
Boise State,Loyola (IL),70,48,
Merrimack,Montana,51,62,
High Point,UNLV,68,78,
Mount St. Mary's,USC,74,83,
Cal Poly,Stanford,43,80,
Robert Morris,Dayton,51,60,
Central Connecticut,Lafayette,50,55,
