School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Georgia,32,1.80,4.80,2193,2289,1285,841,1912,.440,224,702,.319,383,553,.693,351,1138,469,214,117,368,588,728,1774,.410,215,678,.317,522,718,.727,347,1145,358,202,85,423,513
Georgia Southern,33,-3.25,-2.02,2257,2201,1325,779,1838,.424,223,689,.324,420,600,.700,309,1157,379,203,87,429,526,840,1926,.436,207,659,.314,370,539,.686,325,1165,343,232,94,378,551
Georgia State,31,-6.79,-0.93,2068,2150,1245,755,1734,.435,215,596,.361,425,588,.723,288,1021,394,210,114,372,532,745,1789,.416,164,556,.295,414,581,.713,343,1070,342,179,111,400,528
Georgia Tech,33,2.08,4.89,2301,2335,1325,856,1943,.441,206,684,.301,417,586,.712,351,1211,481,181,118,362,500,855,2019,.423,259,773,.335,332,477,.696,349,1155,463,197,134,349,524
Gonzaga,37,18.99,8.04,3187,2715,1485,993,2246,.442,306,877,.349,423,577,.733,334,1171,458,193,89,489,700,1188,2282,.521,279,737,.379,532,768,.693,383,1376,602,268,127,397,613
Grambling,33,-4.03,-8.48,2276,2054,1325,685,1801,.380,209,679,.308,475,716,.663,382,1129,354,231,104,484,605,811,1785,.454,174,489,.356,480,745,.644,364,1196,405,242,136,475,624
Grand Canyon,36,4.43,1.27,2706,2421,1450,863,2112,.409,220,694,.317,475,676,.703,395,1211,374,201,96,387,642,933,2018,.462,323,843,.383,517,722,.716,364,1317,452,177,115,430,648
Green Bay,32,-20.30,-3.14,1898,2447,1285,893,1832,.487,222,634,.350,439,578,.760,321,1169,443,234,105,342,532,656,1665,.394,218,724,.301,368,524,.702,235,905,350,162,76,447,541
Hampton,32,-15.25,-4.71,2183,2481,1285,878,1889,.465,262,701,.374,463,670,.691,327,1243,483,179,113,357,589,759,1934,.392,228,709,.322,437,636,.687,335,1098,352,138,101,354,587
Harvard,28,-0.71,-2.02,1914,1858,1130,680,1612,.422,201,625,.322,297,401,.741,238,902,322,196,87,357,472,700,1593,.439,184,596,.309,330,493,.669,299,1015,370,211,107,381,408
