School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Missouri,35,11.41,6.89,2762,2604,1410,891,1998,.446,309,884,.350,513,683,.751,443,1310,510,216,81,592,570,988,2092,.472,325,904,.360,461,608,.758,310,1058,558,357,95,390,631
Missouri State,32,0.35,-1.00,2098,2021,1295,722,1701,.424,214,660,.324,363,504,.720,276,997,353,202,102,380,449,772,1776,.435,254,767,.331,300,479,.626,363,1124,374,199,140,393,497
Monmouth,33,-15.64,-2.61,2036,2466,1320,828,1804,.459,307,829,.370,503,700,.719,355,1196,463,228,130,474,593,746,1856,.402,134,466,.288,410,615,.667,365,1088,395,278,83,476,635
Montana,31,-1.15,-1.85,2147,2114,1245,733,1626,.451,185,575,.322,463,598,.774,236,940,344,158,71,320,504,762,1650,.462,244,656,.372,379,481,.788,229,942,378,146,74,347,560
Montana State,35,2.18,-1.43,2588,2342,1410,815,1885,.432,222,654,.339,490,654,.749,272,1074,322,196,70,479,716,879,1876,.469,216,642,.336,614,814,.754,291,1154,438,229,104,415,641
Morehead State,34,-7.10,-5.07,2374,2266,1365,846,1932,.438,194,618,.314,380,527,.721,274,1098,365,195,110,381,582,823,1889,.436,254,730,.348,474,654,.725,325,1212,467,193,129,403,532
Morgan State,31,-11.58,-6.10,2323,2242,1255,789,1793,.440,186,601,.309,478,709,.674,402,1181,439,259,120,586,519,863,1911,.452,206,559,.369,391,568,.688,362,1074,479,303,138,500,647
Mount St. Mary's,33,-8.18,-4.02,2101,2212,1330,797,1880,.424,226,678,.333,392,548,.715,337,1136,390,253,99,392,507,771,1818,.424,220,622,.354,339,463,.732,308,1110,410,182,82,450,540
Murray State,32,-4.45,-1.61,2254,2305,1296,854,1909,.447,265,794,.334,332,462,.719,303,1093,451,185,92,347,537,805,1824,.441,197,593,.332,447,607,.736,301,1111,391,174,83,349,467
Navy,31,-2.79,-6.12,2152,2013,1250,733,1684,.435,222,651,.341,325,497,.654,290,1010,403,179,96,402,474,808,1781,.454,240,647,.371,296,419,.706,310,1068,459,215,85,355,494
NC State,34,12.50,5.58,2643,2408,1365,859,1931,.445,205,648,.316,485,657,.738,304,1185,393,172,94,449,534,982,2181,.450,281,810,.347,398,551,.722,385,1244,434,266,152,320,592
Nebraska,32,7.12,9.02,2175,2236,1300,826,1943,.425,289,848,.341,295,425,.694,332,1137,492,215,137,386,538,819,1790,.458,214,657,.326,323,504,.641,264,1105,418,177,79,406,452
Nevada,33,10.01,6.41,2397,2238,1345,781,1836,.425,255,779,.327,421,577,.730,280,1107,421,168,94,413,637,799,1794,.445,238,678,.351,561,708,.792,245,1101,474,197,100,339,592
Nevada-Las Vegas,32,7.20,5.17,2376,2241,1305,779,1781,.437,283,792,.357,400,548,.730,328,1167,453,196,95,562,612,819,1895,.432,262,751,.349,476,658,.723,335,1081,411,291,122,394,547
New Hampshire,30,-9.05,-5.70,1992,2011,1210,741,1701,.436,176,566,.311,353,505,.699,274,1105,299,166,83,329,480,696,1749,.398,248,725,.342,352,508,.693,307,1071,350,161,76,297,452
New Mexico,34,10.82,5.22,2749,2525,1375,916,2100,.436,271,810,.335,422,607,.695,344,1193,482,200,101,433,679,983,2043,.481,192,545,.352,591,800,.739,332,1260,466,229,134,382,574
New Mexico State,24,-1.56,2.45,1769,1720,960,584,1369,.427,213,618,.345,339,477,.711,203,806,297,131,65,333,449,631,1426,.442,181,534,.339,326,479,.681,246,852,291,176,55,305,453
New Orleans,32,-14.23,-7.36,2340,2536,1286,881,1858,.474,245,677,.362,529,712,.743,350,1086,435,280,81,486,612,833,1785,.467,196,519,.378,478,674,.709,309,1032,466,215,70,547,619
Niagara,31,-6.78,-4.58,2016,2044,1250,731,1664,.439,182,509,.358,400,553,.723,270,949,321,166,110,336,501,736,1642,.448,196,570,.344,348,481,.723,250,944,339,165,71,365,499
Nicholls State,31,-8.54,-5.46,2344,2253,1240,743,1670,.445,218,644,.339,549,761,.721,321,1114,439,191,95,549,531,882,1935,.456,238,698,.341,342,530,.645,357,1075,431,302,93,420,639
NJIT,30,-12.57,-5.61,2008,2182,1220,808,1789,.452,232,691,.336,334,498,.671,306,1118,397,156,103,303,487,744,1734,.429,196,562,.349,324,488,.664,261,1022,336,160,85,334,471
Norfolk State,33,-3.72,-6.62,2501,2264,1332,747,1832,.408,301,867,.347,469,685,.685,345,1032,463,218,87,458,637,876,1854,.472,225,664,.339,524,704,.744,362,1185,424,234,122,434,598
North Alabama,33,-8.65,-3.95,2446,2452,1335,878,1988,.442,264,722,.366,432,606,.713,326,1184,442,191,125,372,513,892,1949,.458,252,682,.370,410,578,.709,282,1145,378,193,101,373,552
North Carolina,33,12.94,7.66,2514,2340,1345,876,2017,.434,213,646,.330,375,530,.708,284,1127,368,188,113,345,617,866,1997,.434,234,751,.312,548,739,.742,369,1304,397,177,128,355,555
North Carolina A&T,32,-11.40,-3.95,2264,2362,1290,853,1965,.434,243,734,.331,413,568,.727,358,1258,417,162,91,393,489,806,1931,.417,261,785,.332,391,574,.681,300,1136,375,240,98,385,547
North Carolina Central,30,-2.91,-6.10,2268,1977,1220,704,1657,.425,185,609,.304,384,564,.681,298,966,384,203,117,503,548,815,1737,.469,221,614,.360,417,594,.702,328,1073,439,239,97,459,575
North Dakota,33,-7.60,-3.09,2380,2438,1330,916,1948,.470,217,618,.351,389,522,.745,291,1160,364,200,94,360,568,858,1945,.441,304,868,.350,360,527,.683,304,1101,394,146,88,378,522
North Dakota State,33,-4.56,-2.11,2404,2414,1320,884,2006,.441,243,719,.338,403,535,.753,270,1095,378,214,86,295,552,866,1904,.455,247,735,.336,425,597,.712,281,1191,370,130,98,379,509
North Florida,31,-6.75,-2.54,2363,2405,1260,929,2004,.464,205,582,.352,342,468,.731,367,1157,486,218,91,316,497,837,1838,.455,323,881,.367,366,509,.719,279,1058,405,154,120,378,435
North Texas,38,10.71,2.51,2452,2121,1540,712,1822,.391,194,643,.302,503,733,.686,346,1122,299,206,81,465,616,854,1957,.436,284,809,.351,460,609,.755,407,1289,428,246,112,451,619
Northeastern,30,-10.33,-3.96,1959,2150,1210,787,1750,.450,180,516,.349,396,554,.715,276,988,358,227,95,293,462,712,1704,.418,211,635,.332,324,473,.685,331,1081,377,149,123,432,500
Northern Arizona,35,-3.87,-0.20,2581,2615,1420,905,1917,.472,261,739,.353,544,734,.741,280,1190,474,172,112,424,608,930,2123,.438,295,815,.362,426,576,.740,354,1189,484,185,53,378,649
Northern Colorado,32,-4.65,-0.65,2355,2480,1290,911,1922,.474,211,639,.330,447,615,.727,296,1118,440,170,116,313,552,826,1843,.448,265,741,.358,438,588,.745,263,1068,363,147,54,382,596
Northern Illinois,32,-6.55,-2.65,2304,2401,1285,852,1895,.450,229,698,.328,468,676,.692,376,1203,413,215,97,433,549,837,1816,.461,236,678,.348,394,604,.652,279,1060,402,207,74,458,617
Northern Iowa,32,-2.68,-1.07,2244,2238,1290,800,1783,.449,296,837,.354,342,471,.726,234,1054,417,215,77,409,514,810,1788,.453,238,699,.340,386,554,.697,244,1050,372,204,45,385,498
Northern Kentucky,35,-0.83,-2.89,2372,2224,1425,793,1808,.439,255,704,.362,383,543,.705,351,1180,484,199,84,549,554,851,1997,.426,283,827,.342,387,556,.696,394,1136,468,329,89,395,535
Northwestern,34,13.68,8.71,2303,2134,1370,745,1801,.414,255,755,.338,389,570,.682,316,1193,457,154,113,473,561,801,1968,.407,259,807,.321,442,584,.757,350,1174,434,267,133,327,549
Northwestern State,33,-4.72,-7.04,2463,2378,1330,826,1819,.454,204,614,.332,522,695,.751,364,1180,431,183,107,489,551,900,2024,.445,278,770,.361,385,547,.704,400,1114,415,273,79,393,605
Notre Dame,32,2.09,4.59,2227,2307,1285,854,1862,.459,231,673,.343,368,494,.745,283,1146,433,154,103,286,463,810,1830,.443,282,787,.358,325,426,.763,210,994,379,150,87,281,456
Oakland,32,-8.06,-2.90,2347,2442,1305,912,1949,.468,283,769,.368,335,442,.758,345,1174,563,183,94,438,536,823,1892,.435,232,753,.308,469,604,.776,268,977,384,239,84,339,448
Ohio,33,1.07,-2.68,2602,2413,1325,860,1932,.445,254,747,.340,439,647,.679,335,1135,404,193,106,410,535,945,2063,.458,295,791,.373,417,571,.730,399,1239,412,221,73,370,585
Ohio State,35,12.99,9.45,2538,2414,1410,879,2046,.430,241,751,.321,415,574,.723,355,1159,432,164,99,369,545,948,2052,.462,239,650,.368,403,545,.739,370,1257,410,181,132,375,573
Oklahoma,32,11.38,11.25,2165,2161,1290,797,1845,.432,177,567,.312,390,555,.703,305,1050,342,228,106,332,502,782,1707,.458,224,638,.351,377,513,.735,232,1049,417,183,97,428,518
Oklahoma State,36,12.62,10.18,2458,2370,1450,820,2076,.395,255,808,.316,475,632,.752,367,1213,428,275,94,464,623,875,2046,.428,247,797,.310,461,664,.694,410,1345,452,204,174,507,611
Old Dominion,31,-0.41,-0.64,2073,2052,1245,714,1730,.413,229,731,.313,395,593,.666,322,1089,398,182,122,355,556,735,1760,.418,164,523,.314,439,646,.680,375,1175,328,197,117,348,519
Omaha,32,-10.80,-1.83,2192,2438,1285,851,1859,.458,275,760,.362,461,616,.748,311,1120,443,228,101,349,503,797,1805,.442,183,540,.339,415,535,.776,259,1037,380,172,92,400,584
Oral Roberts,35,8.55,-2.84,2915,2458,1400,918,2207,.416,301,868,.347,321,448,.717,368,1287,418,182,95,445,526,1058,2231,.474,375,1027,.365,424,548,.774,313,1288,514,237,188,329,453
Oregon,36,13.83,9.50,2542,2386,1445,866,2119,.409,265,787,.337,389,507,.767,343,1165,441,219,89,395,627,916,2043,.448,256,799,.320,454,653,.695,397,1354,477,201,175,440,529
Oregon State,32,0.08,6.60,1959,2144,1280,745,1743,.427,225,665,.338,429,593,.723,320,1075,432,208,103,377,531,676,1647,.410,192,605,.317,415,551,.753,254,996,326,172,98,429,570
Pacific,33,-0.56,2.05,2502,2565,1330,906,1937,.468,275,780,.353,478,704,.679,345,1219,447,180,103,428,598,868,1920,.452,297,761,.390,469,651,.720,267,1044,419,179,85,389,628
Penn State,37,13.04,9.02,2673,2524,1505,933,2171,.430,267,816,.327,391,554,.706,336,1293,514,173,105,317,500,978,2111,.463,385,995,.387,332,449,.739,227,1205,508,161,79,332,572
Pennsylvania,30,0.85,-1.11,2249,2160,1220,757,1811,.418,260,800,.325,386,564,.684,315,1014,395,194,88,309,452,812,1749,.464,244,678,.360,381,514,.741,304,1128,444,166,96,382,543
Pepperdine,31,-0.12,4.71,2417,2520,1260,915,1991,.460,243,676,.359,447,638,.701,341,1149,439,224,67,378,519,898,1930,.465,253,699,.362,368,518,.710,286,1109,469,168,117,436,548
Pittsburgh,36,10.59,5.20,2704,2510,1440,892,2122,.420,273,836,.327,453,645,.702,376,1246,479,182,119,406,647,930,2081,.447,325,903,.360,519,684,.759,364,1301,506,185,147,400,585
Portland,33,1.68,4.13,2566,2594,1330,932,2045,.456,337,891,.378,393,573,.686,349,1169,474,206,60,403,707,836,1837,.455,317,845,.375,577,774,.745,268,1082,488,164,75,420,579
Portland State,31,-5.17,-0.58,2363,2340,1240,787,1669,.472,202,566,.357,564,760,.742,292,1113,425,159,69,495,593,835,1865,.448,234,688,.340,459,631,.727,289,974,431,220,105,375,700
Prairie View,32,-8.92,-6.58,2168,2196,1305,742,1723,.431,197,579,.340,515,718,.717,285,1079,359,184,132,494,575,773,1914,.404,191,631,.303,431,629,.685,378,1123,352,242,112,438,610
Presbyterian,32,-13.55,-5.02,2021,2223,1294,786,1686,.466,222,592,.375,429,655,.655,295,1052,374,222,129,396,555,718,1709,.420,191,616,.310,394,630,.625,336,1048,344,176,98,430,617
Princeton,32,4.76,-0.97,2416,2192,1295,810,1904,.425,204,633,.322,368,534,.689,263,1055,354,196,106,336,572,867,1906,.455,272,796,.342,410,576,.712,325,1248,430,156,106,385,512
Providence,33,12.89,6.55,2552,2343,1345,872,1980,.440,225,665,.338,374,502,.745,320,1069,419,199,130,387,597,901,1975,.456,218,630,.346,532,717,.742,400,1257,482,226,147,387,495
Purdue,35,18.23,8.31,2543,2196,1405,842,2024,.416,225,717,.314,287,389,.738,284,975,432,215,103,348,660,884,1936,.457,239,743,.322,536,720,.744,430,1354,542,166,129,388,479
Purdue Fort Wayne,32,-5.46,-4.96,2364,2234,1286,847,1909,.444,228,754,.302,312,433,.721,274,1107,395,212,104,414,517,836,1906,.439,308,891,.346,384,545,.705,318,1139,418,235,74,421,467
Queens (NC),33,-4.16,-4.26,2564,2463,1320,924,2015,.459,253,730,.347,362,506,.715,293,1114,443,211,132,372,577,878,1977,.444,305,873,.349,503,698,.721,371,1232,456,204,72,411,531
Quinnipiac,32,-2.43,-5.20,2335,2231,1295,822,1941,.423,225,710,.317,362,517,.700,320,1092,392,208,129,377,550,826,1908,.433,263,725,.363,420,630,.667,365,1197,419,196,82,404,525
Radford,36,-1.86,-3.86,2496,2332,1445,849,1889,.449,233,701,.332,401,587,.683,316,1128,404,201,96,483,585,931,2023,.460,235,654,.359,399,579,.689,370,1202,426,252,103,426,606
Rhode Island,31,-4.16,0.49,2046,2190,1255,793,1822,.435,203,633,.321,401,577,.695,328,1115,406,213,165,370,558,696,1765,.394,168,553,.304,486,653,.744,363,1148,347,199,119,437,557
Rice,35,-1.95,1.40,2693,2680,1420,1006,2161,.466,294,809,.363,374,538,.695,318,1211,463,242,90,417,607,956,2052,.466,308,875,.352,473,641,.738,294,1220,533,208,85,450,541
Richmond,33,1.43,0.34,2273,2237,1340,813,1893,.429,251,762,.329,360,496,.726,286,1137,405,198,94,381,578,786,1791,.439,261,790,.330,440,591,.745,226,1067,402,189,78,380,499
Rider,30,-3.49,-4.90,2105,2027,1215,690,1625,.425,249,699,.356,398,618,.644,290,947,364,179,97,334,472,793,1746,.454,150,449,.334,369,502,.735,339,1085,341,161,67,345,548
Robert Morris,33,-5.83,-5.57,2287,2205,1325,793,1831,.433,209,591,.354,410,561,.731,309,1110,349,224,89,435,509,844,1904,.443,235,703,.334,364,505,.721,337,1145,457,220,135,432,533
Rutgers,34,14.58,7.31,2326,2079,1370,742,1855,.400,245,796,.308,350,509,.688,333,1166,417,200,133,492,543,867,2012,.431,195,608,.321,397,567,.700,394,1251,512,297,131,388,543
Sacramento State,32,-4.63,-1.60,2114,2169,1305,822,1801,.456,193,549,.352,332,451,.736,248,950,379,213,85,302,496,778,1751,.444,217,629,.345,341,489,.697,348,1141,436,143,85,427,497
Sacred Heart,33,-12.78,-10.91,2332,2351,1330,866,1973,.439,246,729,.337,373,533,.700,362,1226,461,245,101,463,501,864,2002,.432,229,731,.313,375,553,.678,349,1180,444,259,108,438,502
Saint Francis (PA),31,-13.41,-9.27,2263,2286,1245,843,1868,.451,218,660,.330,382,552,.692,304,1062,422,209,84,329,534,813,1760,.462,240,633,.379,397,564,.704,265,1037,430,137,64,391,510
Saint Joseph's,33,-0.33,-0.30,2388,2389,1330,834,1923,.434,276,810,.341,445,630,.706,355,1195,491,226,120,437,574,818,1920,.426,290,882,.329,462,657,.703,342,1142,399,216,107,421,578
Saint Louis,33,6.04,2.85,2493,2348,1320,819,1977,.414,254,754,.337,456,633,.720,327,1110,433,211,109,353,561,921,1970,.468,230,645,.357,421,576,.731,335,1254,543,166,132,399,558
Saint Mary's (CA),35,17.41,7.18,2473,2105,1415,753,1806,.417,191,577,.331,408,549,.743,242,1000,280,166,128,436,596,888,1952,.455,263,720,.365,434,625,.694,371,1236,436,239,122,373,579
Saint Peter's,32,-9.90,-5.25,1986,2083,1290,664,1551,.428,189,557,.339,566,789,.717,294,1037,332,147,140,402,516,716,1830,.391,190,648,.293,364,528,.689,433,1119,336,200,102,393,681
Sam Houston,34,7.15,1.08,2454,2015,1370,667,1704,.391,262,795,.330,419,598,.701,276,1040,374,193,102,564,554,894,1961,.456,277,731,.379,389,575,.677,388,1250,460,279,76,446,606
Samford,32,0.50,-4.36,2519,2290,1300,770,1783,.432,287,782,.367,463,654,.708,296,1066,440,207,72,468,649,832,1833,.454,290,822,.353,565,756,.747,319,1137,374,260,83,405,598
San Diego,31,-2.06,3.28,2391,2495,1250,897,1818,.493,309,757,.408,392,587,.668,296,1077,540,168,93,399,546,849,1882,.451,244,691,.353,449,587,.765,314,1027,398,207,55,355,547
San Diego State,39,15.81,8.92,2775,2475,1570,878,2146,.409,243,857,.284,476,633,.752,345,1255,413,243,116,503,697,986,2251,.438,271,778,.348,532,737,.722,426,1416,504,262,151,452,634
San Francisco,34,6.00,3.63,2591,2496,1370,854,1941,.440,230,675,.341,558,726,.769,311,1113,384,228,85,431,590,883,1975,.447,349,966,.361,476,635,.750,326,1173,436,230,85,469,629
San Jose State,35,5.17,4.52,2362,2318,1415,826,1970,.419,240,700,.343,426,559,.762,294,1067,419,180,91,291,518,869,1996,.435,265,814,.326,359,529,.679,423,1335,428,142,145,416,545
Santa Clara,33,8.55,5.05,2538,2413,1335,883,2035,.434,281,785,.358,366,501,.731,287,1106,446,211,88,392,582,919,2026,.454,275,742,.371,425,604,.704,351,1261,460,196,125,414,519
Seattle,32,0.91,0.67,2303,2209,1285,791,1847,.428,207,643,.322,420,600,.700,284,1125,412,197,111,422,592,786,1953,.402,275,870,.316,456,635,.718,359,1186,381,196,99,382,581
Seton Hall,33,11.00,8.50,2256,2149,1320,762,1835,.415,215,676,.318,410,568,.722,342,1121,415,233,144,475,598,784,1785,.439,190,585,.325,498,726,.686,349,1157,401,272,143,454,586
Siena,32,-3.44,-4.82,2195,2151,1295,793,1765,.449,166,495,.335,399,582,.686,284,1019,341,244,101,398,555,766,1769,.433,213,611,.349,450,611,.736,323,1098,409,182,135,420,547
South Alabama,35,3.58,-0.49,2483,2282,1405,853,2032,.420,171,581,.294,405,565,.717,346,1253,350,185,102,384,452,955,2036,.469,266,770,.345,307,447,.687,242,1143,399,212,151,342,512
South Carolina,32,-2.28,6.00,2059,2324,1300,864,1858,.465,228,674,.338,368,546,.674,343,1122,470,234,112,336,478,744,1846,.403,244,755,.323,327,495,.661,378,1091,355,157,84,421,512
South Carolina State,31,-16.73,-4.13,2274,2599,1250,890,1785,.499,259,652,.397,560,777,.721,343,1152,521,233,132,485,536,838,1980,.423,213,671,.317,385,575,.670,429,1097,435,224,100,486,637
South Carolina Upstate,32,-7.44,-3.81,2198,2225,1285,750,1732,.433,211,632,.334,514,729,.705,340,1127,353,202,82,460,564,808,1773,.456,209,621,.337,373,570,.654,268,1014,374,237,146,421,637
South Dakota,31,-9.87,-3.32,2149,2282,1240,813,1800,.452,256,718,.357,400,547,.731,283,1060,381,196,115,305,506,755,1750,.431,275,706,.390,364,476,.765,267,1041,385,138,48,360,540
South Dakota State,32,-1.82,-2.07,2270,2233,1290,826,1880,.439,254,768,.331,327,431,.759,276,1092,408,202,101,381,532,812,1805,.450,246,700,.351,400,505,.792,223,1040,341,166,92,371,456
South Florida,32,1.95,1.95,2303,2303,1285,783,1818,.431,245,702,.349,492,675,.729,314,1087,430,219,97,418,536,844,1894,.446,236,703,.336,379,582,.651,381,1197,429,207,98,437,568
Southeast Missouri State,36,-7.40,-6.81,2789,2734,1465,928,2085,.445,256,744,.344,622,899,.692,343,1305,470,247,99,527,716,958,2191,.437,286,875,.327,587,828,.709,347,1262,497,251,115,471,767
Southeastern Louisiana,32,-8.00,-6.73,2483,2432,1305,861,1872,.460,295,772,.382,415,603,.688,327,1135,472,193,87,465,550,889,1942,.458,248,672,.369,457,616,.742,329,1107,453,233,58,390,557
Southern,32,-8.57,-6.50,2300,2280,1290,766,1741,.440,239,722,.331,509,731,.696,296,1136,457,211,124,552,560,804,1872,.429,244,737,.331,448,627,.715,281,1037,451,278,75,468,639
Southern California,33,13.06,8.00,2391,2224,1325,776,1977,.393,245,733,.334,427,598,.714,415,1181,433,224,98,406,576,855,1878,.455,214,620,.345,465,624,.745,310,1164,445,227,167,410,568
Southern Illinois,33,1.15,-2.14,2168,2026,1325,743,1769,.420,201,609,.330,339,521,.651,299,1067,365,208,95,428,527,769,1716,.448,259,795,.326,371,513,.723,228,1040,459,238,70,414,539
SIU Edwardsville,33,-6.45,-7.52,2463,2353,1320,823,1936,.425,235,699,.336,472,646,.731,357,1171,390,197,91,452,633,834,1917,.435,236,718,.329,559,767,.729,372,1222,407,228,141,421,576
Southern Indiana,33,-8.87,-7.13,2500,2447,1335,829,1903,.436,263,761,.346,526,731,.720,310,1144,402,204,133,418,602,868,1999,.434,320,854,.375,444,662,.671,404,1272,420,237,77,440,604
Southern Methodist,32,-0.12,5.20,2248,2418,1300,864,1908,.453,247,708,.349,443,625,.709,343,1201,495,225,152,428,561,810,1919,.422,201,646,.311,427,634,.674,335,1118,436,226,108,413,556
Southern Mississippi,33,3.31,-1.56,2436,2182,1320,778,1874,.415,225,709,.317,401,566,.708,343,1119,408,221,83,481,550,881,1937,.455,230,714,.322,444,622,.714,366,1203,488,276,87,403,545
Southern Utah,37,3.39,1.42,3064,2764,1510,999,2270,.440,288,829,.347,478,675,.708,344,1292,473,252,128,527,760,1064,2286,.465,313,887,.353,623,859,.725,395,1427,485,268,125,492,680
St. Bonaventure,32,-1.32,-0.41,2136,2165,1290,735,1713,.429,194,675,.287,501,700,.716,311,1104,414,191,88,418,508,769,1794,.429,226,650,.348,372,529,.703,301,1048,380,224,108,405,596
St. Francis (NY),30,-16.49,-11.17,1946,2034,1205,749,1677,.447,177,454,.390,359,516,.696,311,1053,401,192,92,409,493,688,1701,.404,204,577,.354,366,524,.698,342,1016,369,223,144,414,460
St. John's (NY),33,8.64,6.49,2552,2481,1340,885,2037,.434,277,802,.345,434,603,.720,339,1178,509,271,108,486,533,970,2159,.449,193,583,.331,419,599,.699,433,1324,500,272,123,462,535
St. Thomas,33,-3.10,-4.65,2447,2316,1320,839,1845,.455,222,661,.336,416,561,.742,305,1134,390,140,118,390,563,847,1895,.447,297,844,.352,456,581,.785,272,1052,426,196,77,327,574
Stanford,33,9.64,7.67,2321,2256,1320,806,1819,.443,263,742,.354,381,521,.731,285,1041,415,196,90,400,535,838,1853,.452,267,736,.363,378,545,.694,342,1137,490,188,106,413,557
Stephen F. Austin,32,0.73,-0.69,2427,2238,1305,764,1740,.439,214,645,.332,496,714,.695,341,1067,459,197,108,578,670,867,1834,.473,203,532,.382,490,684,.716,342,1102,482,284,83,493,685
Stetson,31,-2.83,-2.69,2381,2287,1270,826,1821,.454,244,692,.353,391,524,.746,295,1034,421,163,74,317,463,857,1860,.461,311,811,.383,356,461,.772,320,1085,429,159,99,329,484
Stonehill,31,-12.86,-8.59,2076,2157,1255,779,1822,.428,253,735,.344,346,493,.702,344,1127,425,217,91,419,509,720,1633,.441,239,677,.353,397,524,.758,194,963,380,219,88,417,468
Stony Brook,33,-12.45,-4.13,2083,2279,1325,824,1935,.426,289,846,.342,342,489,.699,317,1161,442,239,71,303,522,726,1756,.413,256,794,.322,375,504,.744,252,1119,389,144,83,413,499
Syracuse,32,5.39,4.17,2372,2333,1290,851,1984,.429,329,958,.343,302,430,.702,400,1159,619,210,88,412,524,871,1883,.463,198,547,.362,432,577,.749,324,1113,459,241,161,373,427
Tarleton State,34,-0.76,1.71,2446,2308,1370,758,1707,.444,264,739,.357,528,731,.722,305,1132,432,169,120,617,714,847,1868,.453,163,477,.342,589,837,.704,325,1077,437,330,96,424,694
TCU,35,15.61,8.78,2634,2395,1405,871,2038,.427,220,714,.308,433,613,.706,374,1221,480,222,154,539,584,965,2128,.453,197,636,.310,507,725,.699,402,1254,565,281,166,416,578
Temple,32,4.68,5.30,2227,2247,1305,810,1881,.431,213,634,.336,414,592,.699,333,1108,419,237,93,360,559,754,1774,.425,255,773,.330,464,613,.757,311,1126,441,159,128,434,538
Tennessee,36,20.84,7.98,2547,2084,1445,707,1895,.373,210,792,.265,460,640,.719,337,1147,356,236,104,528,639,908,2097,.433,276,840,.329,455,643,.708,464,1382,601,297,130,431,596
Tennessee State,32,-9.01,-8.94,2499,2401,1281,809,1845,.438,233,675,.345,550,738,.745,303,1148,394,202,102,436,615,868,1935,.449,281,804,.350,482,694,.695,336,1164,427,187,105,403,654
Tennessee Tech,33,-9.40,-6.37,2432,2421,1355,888,2026,.438,260,793,.328,385,519,.742,356,1237,504,227,107,437,561,860,1967,.437,302,829,.364,410,570,.719,310,1159,476,207,80,416,527
Tennessee-Martin,33,-8.67,-7.91,2658,2489,1335,877,2076,.422,270,838,.322,465,679,.685,361,1226,474,208,128,426,590,945,2058,.459,255,771,.331,513,711,.722,346,1293,450,249,114,394,603
Texas,38,20.56,10.43,2963,2578,1535,906,2132,.425,240,741,.324,526,719,.732,380,1307,421,220,120,595,663,1083,2289,.473,274,790,.347,523,699,.748,366,1296,614,299,136,439,663
Texas A&M,35,13.76,7.42,2549,2327,1400,783,1924,.407,290,880,.330,471,667,.706,373,1122,462,251,140,490,699,835,1932,.432,217,666,.326,662,872,.759,435,1288,439,235,82,430,637
Texas A&M-Commerce,33,-11.09,-7.53,2362,2421,1345,848,1835,.462,221,639,.346,504,699,.721,322,1123,425,213,75,405,532,859,1890,.454,278,868,.320,366,522,.701,303,1063,474,191,101,423,618
Texas A&M-Corpus Christi,35,-2.57,-7.02,2803,2561,1410,893,1995,.448,288,860,.335,487,716,.680,339,1175,515,226,119,529,668,971,2152,.451,268,736,.364,593,749,.792,425,1306,536,296,60,448,665
Texas Southern,35,-10.56,-5.05,2422,2518,1430,868,2029,.428,240,724,.331,542,759,.714,341,1242,409,270,117,481,652,894,2095,.427,163,588,.277,471,709,.664,405,1313,412,235,116,511,657
Texas State,35,-2.32,-0.70,2309,2334,1400,800,1799,.445,216,598,.361,518,726,.713,298,1078,373,218,115,427,584,848,1918,.442,154,501,.307,459,630,.729,359,1143,346,220,124,411,630
Texas Tech,32,12.58,8.24,2347,2208,1290,785,1872,.419,260,802,.324,378,532,.711,341,1049,428,228,117,443,551,831,1810,.459,230,666,.345,455,630,.722,334,1125,413,234,93,441,494
Texas-Rio Grande Valley,32,-6.48,-0.55,2518,2502,1290,867,1963,.442,238,716,.332,530,718,.738,328,1099,532,250,113,414,700,868,1852,.469,222,655,.339,560,802,.698,345,1211,505,151,104,514,641
The Citadel,32,-12.13,-3.77,2158,2374,1280,831,1861,.447,260,777,.335,452,626,.722,345,1186,427,228,109,361,508,771,1786,.432,228,702,.325,388,514,.755,234,1015,365,176,85,393,539
Toledo,35,5.76,-2.57,2989,2691,1400,981,2128,.461,295,807,.366,434,578,.751,372,1188,476,179,119,452,651,1057,2138,.494,302,764,.395,573,744,.770,353,1192,521,238,102,336,564
Towson,33,0.24,-4.79,2368,2202,1335,774,1845,.420,245,737,.332,409,545,.750,300,1033,392,184,93,388,535,860,1922,.447,243,663,.367,405,572,.708,407,1232,461,205,113,404,538
Troy,33,1.39,-1.25,2414,2204,1330,770,1814,.424,207,648,.319,457,609,.750,325,1137,357,218,96,513,581,858,1945,.441,255,798,.320,443,632,.701,362,1151,447,288,86,424,559
Tulane,31,5.46,2.69,2478,2392,1260,845,1969,.429,295,827,.357,407,582,.699,362,1243,528,189,144,450,549,861,1873,.460,241,713,.338,515,663,.777,211,1037,485,262,130,351,511
Tulsa,30,-8.48,3.66,1959,2323,1210,864,1822,.474,226,722,.313,369,506,.729,339,1160,496,224,111,355,475,715,1733,.413,230,735,.313,299,463,.646,271,958,348,164,45,397,464
UAB,39,10.96,1.70,3149,2740,1605,984,2391,.412,283,903,.313,489,673,.727,439,1381,480,260,144,552,679,1112,2462,.452,276,778,.355,649,876,.741,526,1595,551,314,166,488,664
